% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
627 +9.695872807e+04 +9.695872807e+04 +9.697238807e+04 +9.697238807e+04 -4.8381e+00 -3.7692e+00 -9.9107e-01 +9.0251e-01 -3.7947e+00 -4.5400e+00 +4.5309e+00 -4.7484e-01 -1.0549e+00 +2.8321e+00 +2.4427e+00 -3.0406e+00 +6.6945e+00 +8.1603e-01 +1.2419e+00 -9.8461e-01 -1.1383e+00 -4.4457e+00 +4.2765e+00 -4.4835e+00
830 +5.424009161e+04 +5.424009161e+04 +5.425375161e+04 +5.425375161e+04 -4.6263e+00 -3.6779e+00 -8.3333e-01 +8.9699e-01 -3.7514e+00 -4.5671e+00 +4.5227e+00 -5.4759e-01 -8.1835e-01 +2.8371e+00 +2.4986e+00 +6.3445e-01 +6.0561e+00 +7.7565e-01 +1.1644e+00 -1.2884e+00 -1.3692e+00 -3.9618e+00 +3.9530e+00 -4.4726e+00
852 +3.682612845e+04 +3.682612845e+04 +3.683978845e+04 +3.683978845e+04 -4.9223e+00 -3.8094e+00 -7.6387e-01 +9.0330e-01 -3.8555e+00 -4.5143e+00 +4.5241e+00 -4.9555e-01 -5.0086e-01 +2.9417e+00 +2.4594e+00 -2.6168e+00 +6.2691e+00 +8.9827e-01 +1.1235e+00 -2.9158e-01 -1.1070e+00 -4.4719e+00 +4.1704e+00 -4.5041e+00
861 +1.148017035e+04 +1.148017035e+04 +1.149383035e+04 +1.149383035e+04 -4.8319e+00 -3.7889e+00 -8.4380e-01 +8.9938e-01 -3.8581e+00 -4.6422e+00 +4.5214e+00 -5.8609e-01 -7.9228e-01 +2.8549e+00 +2.4494e+00 -3.0043e+00 +7.2519e+00 +9.2075e-01 +1.0917e+00 -9.4363e-01 -1.2425e+00 -4.3846e+00 +4.1997e+00 -4.5452e+00
910 +5.449735288e+02 +5.449735288e+02 +5.586335288e+02 +5.586335288e+02 -5.4308e+00 -3.7603e+00 -6.9657e-01 +8.8927e-01 -3.7928e+00 -4.4865e+00 +4.5288e+00 -5.2788e-01 -9.9629e-01 +2.4959e+00 +2.5048e+00 -2.3921e+00 +5.5926e+00 +9.2537e-01 +5.2606e-01 -6.8147e-01 -1.0513e+00 -4.3472e+00 +4.0815e+00 -4.4638e+00
1019 +5.362165857e+02 +5.362165857e+02 +5.498765857e+02 +5.498765857e+02 -4.8207e+00 -3.7312e+00 -8.0291e-01 +9.1064e-01 -3.8063e+00 -4.4885e+00 +4.5227e+00 -4.9162e-01 -8.6469e-01 +2.8315e+00 +2.4637e+00 -1.9990e+00 +6.1038e+00 +4.9916e-01 +9.5221e-01 -8.4720e-01 -1.0958e+00 -4.5706e+00 +4.3598e+00 -4.4530e+00
1035 +3.432475466e+02 +3.432475466e+02 +3.569075466e+02 +3.569075466e+02 -5.1651e+00 -3.8244e+00 -6.5497e-01 +9.2177e-01 -3.7618e+00 -4.4687e+00 +4.5187e+00 -4.9030e-01 -7.4396e-01 +2.5793e+00 +2.3767e+00 -2.2859e+00 +5.2305e+00 +9.3293e-01 +5.7696e-01 -6.9287e-01 -1.8651e+00 -4.2977e+00 +4.2094e+00 -4.5036e+00
1073 +3.271076690e+02 +3.271076690e+02 +3.407676690e+02 +3.407676690e+02 -4.9813e+00 -3.8961e+00 -6.8096e-01 +9.1612e-01 -3.8341e+00 -4.8089e+00 +4.5239e+00 -5.1341e-01 -7.1521e-01 +2.6556e+00 +3.2150e+00 -9.9408e-01 +5.5710e+00 +5.1444e-01 +7.0429e-01 -6.5232e-01 -1.1560e+00 -4.2777e+00 +4.2606e+00 -4.8075e+00
40282       +inf +3.271076690e+02       +inf +3.407676690e+02 -1.3501e+31 +1.1948e+28 -2.1898e+28 -1.8399e+28 +1.3458e+29 +2.5801e+28 -2.7068e+29 -2.6391e+27 +9.6075e+28 -3.9258e+27 -2.8043e+28 -3.9706e+28 -1.2498e+28 -6.0947e+29 +1.9750e+28 -1.3989e+28 -3.3308e+28 +3.6573e+28 +1.2508e+28 +1.6429e+28
% function evaluation | noise-free fitness - Fopt (9.378400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.581107992e+06 +2.581107992e+06 +2.582045832e+06 +2.582045832e+06 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +1.852159390e+06 +1.852159390e+06 +1.853097230e+06 +1.853097230e+06 -1.6458e+00 -1.7454e+00 -3.8210e-01 -3.7680e+00 -1.8156e+00 -2.2481e+00 -1.3074e+00 +4.5800e+00 +2.6738e+00 -4.3628e+00 +3.6212e+00 -7.8826e-01 +2.9124e-01 -1.0380e-02 +8.7146e-01 +3.0013e+00 +3.4462e+00 +1.0280e+00 -1.1998e+00 +6.2123e-01
3 +1.701974059e+06 +1.701974059e+06 +1.702911899e+06 +1.702911899e+06 -1.7016e+00 -1.7433e+00 -3.8211e-01 -3.7695e+00 -1.8200e+00 -2.2255e+00 -1.3126e+00 +4.5753e+00 +2.6703e+00 -4.3467e+00 +3.6279e+00 -6.7665e-01 +2.9174e-01 -9.7131e-03 +8.8832e-01 +3.0017e+00 +3.4244e+00 +1.0307e+00 -1.1929e+00 +6.1096e-01
48 +1.681912763e+06 +1.681912763e+06 +1.682850603e+06 +1.682850603e+06 -1.7170e+00 -1.7110e+00 -3.8214e-01 -3.7690e+00 -1.8137e+00 -2.2284e+00 -1.3146e+00 +4.5785e+00 +2.6753e+00 -4.3495e+00 +3.6219e+00 -7.9055e-01 +2.9180e-01 -1.0410e-02 +8.7614e-01 +2.9821e+00 +3.4376e+00 +1.0346e+00 -1.2048e+00 +6.2455e-01
104 +1.626593429e+06 +1.626593429e+06 +1.627531269e+06 +1.627531269e+06 -1.7997e+00 -1.7848e+00 -3.8210e-01 -3.7709e+00 -1.8184e+00 -2.2277e+00 -1.3219e+00 +4.5825e+00 +2.6728e+00 -4.3517e+00 +3.6212e+00 -8.2112e-01 +2.9402e-01 -8.8263e-03 +8.6302e-01 +3.0034e+00 +3.4250e+00 +1.0347e+00 -1.1971e+00 +6.3337e-01
138 +1.591248186e+06 +1.591248186e+06 +1.592186026e+06 +1.592186026e+06 -1.7240e+00 -1.6847e+00 -3.8214e-01 -3.7690e+00 -1.8162e+00 -2.2229e+00 -1.3581e+00 +4.5933e+00 +2.6684e+00 -4.3579e+00 +3.6246e+00 -7.9045e-01 +2.9149e-01 -9.3794e-03 +8.9886e-01 +2.9967e+00 +3.4444e+00 +1.0325e+00 -1.1900e+00 +6.0607e-01
166 +1.558203621e+06 +1.558203621e+06 +1.559141461e+06 +1.559141461e+06 -1.8065e+00 -1.7665e+00 -3.8207e-01 -3.7681e+00 -1.8148e+00 -2.2968e+00 -1.3082e+00 +4.5848e+00 +2.6700e+00 -4.3534e+00 +3.6215e+00 -8.0357e-01 +2.9281e-01 -9.3943e-03 +8.9374e-01 +3.0037e+00 +3.4690e+00 +1.0331e+00 -1.2069e+00 +6.1334e-01
208 +1.456719951e+06 +1.456719951e+06 +1.457657791e+06 +1.457657791e+06 -1.7293e+00 -1.5916e+00 -3.8204e-01 -3.7717e+00 -1.8123e+00 -2.2545e+00 -1.3400e+00 +4.5840e+00 +2.6736e+00 -4.3429e+00 +3.6829e+00 -7.5265e-01 +2.8793e-01 -7.8836e-03 +9.1169e-01 +3.0117e+00 +3.3837e+00 +1.0466e+00 -1.1756e+00 +6.0138e-01
218 +1.323582643e+06 +1.323582643e+06 +1.324520483e+06 +1.324520483e+06 -1.8897e+00 -1.7677e+00 -3.8221e-01 -3.7686e+00 -1.8198e+00 -2.2047e+00 -1.3191e+00 +4.5905e+00 +2.6733e+00 -4.3594e+00 +3.5690e+00 -7.5930e-01 +2.9081e-01 -9.7740e-03 +8.9549e-01 +3.0044e+00 +3.4256e+00 +1.0356e+00 -1.1995e+00 +6.2165e-01
303 +1.269930484e+06 +1.269930484e+06 +1.270868324e+06 +1.270868324e+06 -1.7883e+00 -1.6144e+00 -3.8224e-01 -3.7680e+00 -1.8096e+00 -2.2614e+00 -1.3221e+00 +4.6026e+00 +2.6697e+00 -4.4026e+00 +3.5776e+00 -7.7616e-01 +2.9192e-01 -9.8107e-03 +8.6750e-01 +3.0018e+00 +3.4171e+00 +1.0338e+00 -1.1619e+00 +6.2159e-01
323 +9.847863540e+05 +9.847863540e+05 +9.857241940e+05 +9.857241940e+05 -2.0630e+00 -1.6936e+00 -3.8213e-01 -3.7699e+00 -1.8147e+00 -2.1333e+00 -1.3491e+00 +4.5819e+00 +2.6706e+00 -4.3612e+00 +3.6192e+00 -7.0871e-01 +2.9335e-01 -9.3345e-03 +8.6498e-01 +3.0019e+00 +3.4271e+00 +1.0356e+00 -1.2048e+00 +6.2905e-01
