% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2308 +6.198307178e+01 +6.198307178e+01 +1.027630718e+02 +1.027630718e+02 +2.0197e+00 -1.7030e+00 +2.1537e+00 -1.9474e+00 -3.7272e+00 +5.4355e+00 +2.1553e+00 +3.7105e+00 -4.5704e+00 +1.5710e+00 -7.7541e-01 -2.9634e+00 +3.1329e+00 -1.6316e+00 +8.6887e-01 +1.4774e+00 +1.3467e+00 +5.5412e-01 -1.3247e+00 -3.0699e+00
2615 +6.074944610e+01 +6.074944610e+01 +1.015294461e+02 +1.015294461e+02 +2.7065e+00 -1.6979e+00 +2.0649e+00 -2.1643e+00 -4.2182e+00 +5.0983e+00 +2.6046e+00 +3.6966e+00 -4.5025e+00 +2.3220e+00 -7.4629e-01 -2.8052e+00 +3.4998e+00 -1.6167e+00 +6.9780e-01 +1.2664e+00 +1.6786e+00 +1.4927e-01 -1.4486e+00 -2.9767e+00
2756 +5.927587219e+01 +5.927587219e+01 +1.000558722e+02 +1.000558722e+02 +2.4806e+00 -1.7036e+00 +1.9089e+00 -2.3900e+00 -3.6196e+00 +5.4004e+00 +2.2488e+00 +3.4413e+00 -4.7126e+00 +2.5792e+00 -8.7343e-01 -2.8483e+00 +3.8213e+00 -1.5201e+00 +7.8479e-01 +1.3607e+00 +1.6590e+00 -2.9650e-01 -1.4045e+00 -3.1038e+00
2765 +5.835072003e+01 +5.835072003e+01 +9.913072003e+01 +9.913072003e+01 +2.3556e+00 -1.6964e+00 +2.5265e+00 -2.5046e+00 -4.6120e+00 +6.0213e+00 +1.9167e+00 +3.3913e+00 -4.0520e+00 +1.5812e+00 -4.8277e-01 -4.1357e+00 +1.9701e+00 -1.6103e+00 -3.6873e-03 +1.3341e+00 +6.1993e-01 +2.9002e-01 -1.7584e+00 -2.8104e+00
2944 +5.586517801e+01 +5.586517801e+01 +9.664517801e+01 +9.664517801e+01 +2.6946e+00 -1.6979e+00 +2.3262e+00 -2.7116e+00 -3.5727e+00 +4.8437e+00 +1.9599e+00 +3.5102e+00 -4.0175e+00 +2.0374e+00 -9.3612e-01 -2.7664e+00 +3.9185e+00 -1.4143e+00 +5.4171e-01 +1.3040e+00 +1.2330e+00 -4.5261e-03 -2.1301e+00 -3.1948e+00
3067 +5.356151603e+01 +5.356151603e+01 +9.434151603e+01 +9.434151603e+01 +2.4380e+00 -1.7025e+00 +1.9448e+00 -2.2958e+00 -4.2585e+00 +4.9826e+00 +1.6583e+00 +3.6651e+00 -4.1667e+00 +1.7929e+00 -5.3679e-01 -2.3023e+00 +3.4762e+00 -1.3177e+00 +2.2087e-01 +9.2688e-01 +1.6558e+00 -1.0434e+00 -1.6465e+00 -3.2941e+00
3112 +4.873422041e+01 +4.873422041e+01 +8.951422041e+01 +8.951422041e+01 +2.9711e+00 -1.7025e+00 +2.2175e+00 -2.8466e+00 -4.0785e+00 +5.5262e+00 +1.9272e+00 +3.5774e+00 -3.8003e+00 +2.6679e+00 -2.9211e-01 -3.0671e+00 +3.8686e+00 -1.0430e+00 -8.1897e-02 +1.2551e+00 +1.2102e+00 +7.7352e-02 -1.6753e+00 -3.1337e+00
3425 +4.484684261e+01 +4.484684261e+01 +8.562684261e+01 +8.562684261e+01 +2.1532e+00 -1.8986e+00 +1.0559e+00 -2.8001e+00 -4.2262e+00 +4.4520e+00 +3.3943e-01 +3.6271e+00 -3.2763e+00 +2.3075e+00 -2.4317e-01 -2.9170e+00 +4.4597e+00 -8.1272e-01 -9.5363e-01 +2.0603e-01 +6.1869e-01 +6.8826e-01 -2.2155e+00 -3.5519e+00
3548 +4.213374681e+01 +4.213374681e+01 +8.291374681e+01 +8.291374681e+01 +2.1364e+00 -1.7003e+00 +2.7225e+00 -2.7520e+00 -4.1787e+00 +4.6702e+00 +7.5293e-01 +3.8079e+00 -3.6756e+00 +2.7291e+00 -1.6156e-01 -2.7383e+00 +3.8891e+00 -8.0187e-01 +7.7090e-01 +3.9844e-01 +1.0126e+00 +1.1076e+00 -1.5302e+00 -3.1826e+00
3704 +4.108822944e+01 +4.108822944e+01 +8.186822944e+01 +8.186822944e+01 +2.2077e+00 -1.7969e+00 +3.5236e+00 -3.0356e+00 -4.5877e+00 +4.1512e+00 +6.8245e-01 +3.8173e+00 -3.7354e+00 +1.5482e+00 +2.9405e-01 -2.4695e+00 +4.4461e+00 -1.0647e+00 +8.3166e-01 -2.3706e-01 +1.2969e+00 +7.3816e-01 -1.5058e+00 -3.3696e+00
3872 +3.932893336e+01 +3.932893336e+01 +8.010893336e+01 +8.010893336e+01 +2.8243e+00 -1.7107e+00 +2.7244e+00 -4.6113e+00 -4.0381e+00 +3.7268e+00 +1.4201e+00 +3.5507e+00 -3.1225e+00 +2.0160e+00 +5.2836e-01 -2.3234e+00 +4.2577e+00 -7.5945e-01 +1.3408e+00 -5.3201e-01 +9.9393e-01 -9.2069e-01 -1.5096e+00 -4.3572e+00
4112 +3.809248758e+01 +3.809248758e+01 +7.887248758e+01 +7.887248758e+01 +2.2543e+00 -1.7400e+00 +3.5196e+00 -3.5927e+00 -4.7262e+00 +4.0490e+00 +3.6630e-01 +3.4650e+00 -2.8800e+00 +2.3047e+00 -2.9094e-01 -3.0177e+00 +3.6363e+00 -8.0839e-01 +1.0335e+00 -3.4092e-02 +1.7270e+00 +2.8999e-01 -1.4346e+00 -3.7809e+00
4161 +2.671692305e+01 +2.671692305e+01 +6.749692305e+01 +6.749692305e+01 +2.0608e+00 -1.7265e+00 +2.6039e+00 -3.5138e+00 -4.2127e+00 +5.0641e+00 +3.1091e-01 +3.4455e+00 -3.3861e+00 +2.3441e+00 +9.6058e-01 -2.7810e+00 +3.6073e+00 -2.1175e-01 +1.0656e+00 +3.6236e-02 +1.7712e+00 +2.2019e-01 -1.8270e+00 -3.6352e+00
4900 +2.443266523e+01 +2.443266523e+01 +6.521266523e+01 +6.521266523e+01 +1.8175e+00 -1.8677e+00 +2.0941e+00 -3.4264e+00 -4.0074e+00 +4.5832e+00 -5.7894e-01 +3.6407e+00 -3.6869e+00 +2.1372e+00 +8.8836e-01 -1.9271e+00 +3.6243e+00 +1.7486e-01 +1.4565e+00 -8.3569e-01 +2.1555e+00 -7.0336e-01 -2.0568e+00 -3.2774e+00
5803 +2.326498123e+01 +2.326498123e+01 +6.404498123e+01 +6.404498123e+01 +1.8650e+00 -2.1096e+00 +1.4469e+00 -3.7797e+00 -3.4954e+00 +4.9323e+00 -1.4185e+00 +2.6780e+00 -3.2060e+00 +8.3662e-01 +1.3958e+00 -3.3070e+00 +4.6574e+00 +5.4738e-01 +1.2626e+00 -3.3051e-01 +1.8467e+00 -4.5747e-01 -2.0879e+00 -3.6776e+00
6583 +2.204827389e+01 +2.204827389e+01 +6.282827389e+01 +6.282827389e+01 +1.8333e+00 -2.0837e+00 +1.5755e+00 -3.0639e+00 -3.8408e+00 +3.9906e+00 -2.9415e-01 +4.7919e+00 -3.9790e+00 +2.5743e+00 +1.6798e+00 -1.6929e+00 +4.3687e+00 +1.7805e+00 +1.7922e+00 -3.6406e-01 +1.5907e+00 -8.8309e-01 -2.0309e+00 -3.4195e+00
6713 +1.848359749e+01 +1.848359749e+01 +5.926359749e+01 +5.926359749e+01 +2.1717e+00 -1.4291e+00 +1.3365e+00 -3.0513e+00 -3.4631e+00 +4.2786e+00 -6.9129e-01 +3.6715e+00 -3.9642e+00 +2.0651e+00 +3.3491e+00 -3.4198e+00 +4.3700e+00 +1.7137e+00 +2.0201e+00 -1.3247e+00 +2.6330e+00 -1.2959e+00 -2.5433e+00 -3.8773e+00
6720 +1.479569825e+01 +1.479569825e+01 +5.557569825e+01 +5.557569825e+01 +1.9003e+00 -1.4511e+00 +1.1185e+00 -3.2099e+00 -3.9133e+00 +3.9708e+00 -7.5581e-01 +3.5559e+00 -3.7678e+00 +1.4615e+00 +2.5940e+00 -2.8008e+00 +3.9585e+00 +1.9895e+00 +2.1843e+00 -1.0808e+00 +3.1859e+00 -1.1278e+00 -2.3316e+00 -3.5439e+00
6819 +1.405396785e+01 +1.405396785e+01 +5.483396785e+01 +5.483396785e+01 +7.1743e-01 -1.7961e+00 +1.1285e+00 -3.6329e+00 -4.3782e+00 +3.5071e+00 -9.8306e-01 +4.5457e+00 -3.0866e+00 +1.6050e+00 +1.7507e+00 -2.8578e+00 +4.1848e+00 +1.9042e+00 +1.8154e+00 -8.1569e-01 +2.4994e+00 -1.1916e+00 -2.1027e+00 -3.5750e+00
7138 +1.340871871e+01 +1.340871871e+01 +5.418871871e+01 +5.418871871e+01 +1.0258e+00 -1.4377e+00 +1.2633e+00 -3.5807e+00 -3.8953e+00 +3.5717e+00 -1.6041e+00 +3.2545e+00 -3.3657e+00 +9.8383e-01 +2.4367e+00 -3.0264e+00 +4.0451e+00 +1.8773e+00 +1.3826e+00 -1.3401e+00 +2.3197e+00 -1.0322e+00 -3.0703e+00 -3.1806e+00
15571 +1.300459670e+01 +1.300459670e+01 +5.378459670e+01 +5.378459670e+01 +4.3713e-01 -6.3554e-01 -7.9355e-01 -2.9276e+00 -4.6865e+00 +3.4055e+00 -1.1165e+00 +2.7048e+00 -2.8179e+00 +1.8756e-01 +2.7913e+00 -4.3321e+00 +3.6472e+00 +2.5066e+00 +1.7053e+00 -1.3835e+00 +1.7183e+00 -1.9131e+00 -2.5655e+00 -2.5290e+00
16034 +1.186720478e+01 +1.186720478e+01 +5.264720478e+01 +5.264720478e+01 +3.2200e-01 -1.0981e+00 -5.7706e-01 -3.1452e+00 -3.6107e+00 +3.1257e+00 -7.3338e-01 +3.0483e+00 -2.9005e+00 +7.2628e-01 +3.0898e+00 -4.3526e+00 +4.3310e+00 +2.0682e+00 +1.9907e+00 -1.4807e+00 +1.8889e+00 -2.0369e+00 -2.5990e+00 -3.9446e+00
17203 +1.083160172e+01 +1.083160172e+01 +5.161160172e+01 +5.161160172e+01 -6.3572e-02 -5.7365e-01 -8.6438e-01 -2.6844e+00 -3.6073e+00 +3.3422e+00 -1.7895e+00 +3.0779e+00 -3.1818e+00 +1.0919e+00 +3.7001e+00 -4.8207e+00 +3.8785e+00 +2.2748e+00 +1.9561e+00 -1.7220e+00 +2.5663e+00 -1.8998e+00 -3.2262e+00 -3.2813e+00
17949 +1.056854172e+01 +1.056854172e+01 +5.134854172e+01 +5.134854172e+01 +6.3067e-01 -8.0339e-02 -1.0520e+00 -2.5564e+00 -4.2798e+00 +3.1383e+00 -2.6448e+00 +2.0107e+00 -2.5332e+00 +7.6105e-01 +3.9174e+00 -5.2738e+00 +3.4264e+00 +2.1697e+00 +2.3447e+00 -2.0231e+00 +3.0691e+00 -2.9121e+00 -2.9947e+00 -2.2373e+00
% function evaluation | noise-free fitness - Fopt (-1.600000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.948683589e+01 +7.948683589e+01 +7.788683589e+01 +7.788683589e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
1829 +7.876778559e+01 +7.876778559e+01 +7.716778559e+01 +7.716778559e+01 -3.4190e-01 +1.1326e+00 +3.1052e+00 +3.0000e+00 +3.7284e+00 -3.0373e+00 +2.3831e+00 +1.7287e+00 -3.4384e+00 +1.0495e-01 -1.4622e+00 +2.2765e+00 -4.1285e+00 -3.5648e+00 +8.6071e-01 -4.3249e+00 -3.2662e+00 -1.0535e-02 +1.1179e+00 -1.7033e+00
2051 +7.696393081e+01 +7.696393081e+01 +7.536393081e+01 +7.536393081e+01 -4.4324e-01 +1.6107e+00 +2.3251e+00 +2.9764e+00 +3.2489e+00 -3.7811e+00 +2.6480e+00 +6.8962e-01 -3.2327e+00 -1.2689e+00 -1.8667e+00 +1.3306e+00 -3.3050e+00 -4.2196e+00 +2.4115e+00 -4.0869e+00 -3.7223e+00 -2.1179e-01 +1.7290e+00 -2.1483e-01
2204 +7.566927964e+01 +7.566927964e+01 +7.406927964e+01 +7.406927964e+01 -7.1246e-02 +1.6244e+00 +3.5467e+00 +3.0253e+00 +3.1847e+00 -4.0324e+00 +2.1588e+00 +1.8582e+00 -3.6240e+00 -1.3450e+00 -2.0046e+00 +3.2579e+00 -2.3407e+00 -3.5604e+00 +1.9560e+00 -4.0927e+00 -2.9815e+00 +2.6401e-02 +2.2358e+00 +2.8645e-01
2372 +7.309696409e+01 +7.309696409e+01 +7.149696409e+01 +7.149696409e+01 +3.0277e-02 +1.9264e+00 +3.3537e+00 +2.8373e+00 +4.3701e+00 -4.8652e+00 +1.9488e+00 +1.0722e+00 -3.0197e+00 -3.7777e-01 -2.3741e+00 +2.3321e+00 -1.9211e+00 -3.2874e+00 +2.4181e+00 -3.7252e+00 -2.8421e+00 -2.1516e-01 +2.3506e+00 +6.5710e-01
2663 +7.222084240e+01 +7.222084240e+01 +7.062084240e+01 +7.062084240e+01 +9.2101e-01 +2.7626e+00 +2.4959e+00 +2.9625e+00 +3.4202e+00 -3.6751e+00 +1.1415e+00 +7.6326e-01 -2.2539e+00 -1.2066e-02 -2.3329e+00 +2.3872e+00 -1.9334e+00 -3.4076e+00 +2.7419e+00 -3.4121e+00 -2.3513e+00 -1.3369e-01 +2.4075e+00 +4.8917e-01
3526 +7.024534976e+01 +7.024534976e+01 +6.864534976e+01 +6.864534976e+01 +1.5621e+00 +1.7050e+00 +3.1127e+00 +2.6102e+00 +3.8925e+00 -3.9926e+00 +6.6277e-01 +6.0418e-01 -3.0477e+00 +4.4685e-01 -1.3964e+00 +2.2264e+00 -9.2434e-01 -3.2368e+00 +2.5454e+00 -2.9168e+00 -2.6054e+00 -2.2137e+00 +3.0859e+00 +9.6873e-01
11203 +6.912906996e+01 +6.912906996e+01 +6.752906996e+01 +6.752906996e+01 +1.3973e+00 +1.7107e+00 +3.1795e+00 +1.8453e+00 +3.5590e+00 -4.5703e+00 -6.3229e-01 +1.0771e-01 -2.2884e+00 +6.3283e-01 -1.7255e+00 +2.3899e+00 -9.4846e-01 -2.8681e+00 +2.2232e+00 -2.4117e+00 -2.2661e+00 -1.7128e+00 +2.5683e+00 +1.2896e+00
100330 +6.756137113e+01 +6.756137113e+01 +6.596137113e+01 +6.596137113e+01 +1.8493e-01 -2.4853e-01 -4.4016e+00 +3.3122e+00 -1.7409e+00 -5.9080e-01 -7.0035e-01 -7.1798e-01 +2.4568e+00 -1.3391e+00 -2.2387e+00 +7.6794e-01 +1.6079e+00 -4.4976e+00 +4.2391e-01 -6.7536e-01 +4.9323e-01 -2.0276e+00 -3.3326e+00 +3.9277e+00
101411 +6.552354769e+01 +6.552354769e+01 +6.392354769e+01 +6.392354769e+01 -7.5708e-03 +3.5465e-01 -3.8313e+00 +3.4570e+00 -1.2402e+00 -5.7174e-01 +3.2467e-02 -2.7871e-01 +3.3016e+00 -3.4036e-01 -2.8603e+00 +5.8278e-01 +2.3384e+00 -3.6138e+00 +6.1829e-01 -4.8548e-01 +1.5595e+00 -2.3870e+00 -3.6559e+00 +3.9010e+00
102484 +6.427689946e+01 +6.427689946e+01 +6.267689946e+01 +6.267689946e+01 +4.2171e-01 +1.1360e-01 -3.8536e+00 +3.4432e+00 -4.7450e-01 -5.6549e-01 -6.3088e-01 -6.2075e-01 +4.4471e+00 -8.4651e-01 -2.2522e+00 +3.8133e-01 +2.0875e+00 -3.9333e+00 -1.4727e-01 -1.1884e+00 +1.1000e+00 -2.3260e+00 -4.1210e+00 +4.1722e+00
104232 +6.285937856e+01 +6.285937856e+01 +6.125937856e+01 +6.125937856e+01 +1.0354e+00 -3.9140e-02 -4.2628e+00 +4.0204e+00 -6.9386e-01 -1.2512e-01 -5.5300e-01 -7.8011e-01 +4.2640e+00 -1.6025e+00 -3.4245e+00 +3.8706e-01 +2.2477e+00 -4.0997e+00 +4.1965e-01 -1.5629e+00 +1.2608e+00 -3.2733e+00 -3.7057e+00 +4.0887e+00
104793 +5.998445091e+01 +5.998445091e+01 +5.838445091e+01 +5.838445091e+01 +1.9089e-01 +4.6174e-01 -4.1531e+00 +3.2161e+00 -1.7084e+00 +1.0761e+00 -5.6475e-01 -1.2502e+00 +4.8428e+00 -9.6668e-01 -3.0859e+00 +1.0050e+00 +2.6123e+00 -4.0595e+00 -1.1584e-01 -1.6305e+00 +7.6007e-01 -3.2563e+00 -2.7070e+00 +4.2735e+00
104943 +5.617138643e+01 +5.617138643e+01 +5.457138643e+01 +5.457138643e+01 -3.1963e-01 +2.3168e-02 -5.0490e+00 +3.2096e+00 -1.0625e+00 +1.2084e+00 -7.5717e-01 -5.8603e-01 +4.3663e+00 -9.3909e-01 -3.0266e+00 +8.1209e-01 +2.0215e+00 -4.2078e+00 +4.8773e-01 -1.3949e+00 +1.1996e+00 -1.9892e+00 -3.9067e+00 +4.9110e+00
105624 +5.049540480e+01 +5.049540480e+01 +4.889540480e+01 +4.889540480e+01 +9.5240e-01 -7.8446e-02 -4.0799e+00 +3.5071e+00 -9.1154e-01 +2.9788e+00 -5.6567e-01 -4.9616e-01 +4.2388e+00 -9.7418e-01 -2.2669e+00 +2.6529e-01 +2.2450e+00 -4.3354e+00 +7.4385e-01 -1.5869e+00 +1.1954e+00 -2.5165e+00 -3.2305e+00 +4.3384e+00
107613 +4.980561526e+01 +4.980561526e+01 +4.820561526e+01 +4.820561526e+01 +9.0491e-01 +4.1833e-01 -4.5441e+00 +3.7861e+00 -1.2338e+00 +3.2514e+00 -8.5852e-01 -2.4367e-01 +4.6461e+00 -1.1334e+00 -3.0258e+00 +5.1525e-01 +2.0336e+00 -4.0754e+00 +1.1279e+00 -9.7672e-01 +1.6381e+00 -2.2344e+00 -3.3652e+00 +4.3167e+00
109523 +4.839787223e+01 +4.839787223e+01 +4.679787223e+01 +4.679787223e+01 +2.0449e-01 +7.6997e-02 -4.3412e+00 +3.2976e+00 -8.4853e-01 +3.7404e+00 -9.1380e-01 -6.1235e-01 +4.6855e+00 -8.3064e-01 -3.1572e+00 +1.7356e-01 +2.1738e+00 -4.3846e+00 +1.2178e+00 -1.1884e+00 +1.3813e+00 -2.2738e+00 -4.1291e+00 +4.3816e+00
117418 +4.777950478e+01 +4.777950478e+01 +4.617950478e+01 +4.617950478e+01 +6.0957e-01 +6.0770e-02 -4.3286e+00 +3.2877e+00 -8.2734e-01 +3.1331e+00 -6.0603e-01 -5.1453e-01 +4.7129e+00 -6.9598e-01 -3.1269e+00 +3.6430e-01 +2.1005e+00 -4.3010e+00 +9.8688e-01 -1.3301e+00 +1.2564e+00 -2.4358e+00 -3.8988e+00 +4.5645e+00
294349 +4.390047516e+01 +4.390047516e+01 +4.230047516e+01 +4.230047516e+01 -4.4908e+00 -4.4221e+00 +4.2232e-01 +4.2795e+00 +6.6536e-01 +3.1666e+00 -4.9479e+00 -2.0628e+00 -1.0110e+00 +2.0390e+00 +1.9735e+00 +2.0174e+00 +9.5730e-01 -3.0104e+00 +1.4071e+00 -2.4733e+00 +2.5223e+00 +6.9526e-01 -2.0064e+00 +3.1977e+00
294843 +3.969082291e+01 +3.969082291e+01 +3.809082291e+01 +3.809082291e+01 -4.5190e+00 -2.8622e+00 -6.4440e-01 +3.0116e+00 +6.1512e-01 +2.7766e+00 -4.6074e+00 -2.3982e+00 -9.9666e-01 +2.0760e+00 +2.0553e+00 +6.0576e-01 -8.3877e-01 -1.9763e+00 +1.0072e+00 -3.4178e+00 +3.2333e+00 +1.4256e+00 -1.8266e+00 +3.6150e+00
295417 +3.542381803e+01 +3.542381803e+01 +3.382381803e+01 +3.382381803e+01 -4.6721e+00 -4.8498e+00 +1.2442e+00 +4.7286e+00 +5.7530e-01 +1.8347e+00 -5.0894e+00 -2.3034e+00 +1.7337e-01 +3.2957e+00 +5.6623e-01 +3.1331e-01 -2.6865e-01 -1.5316e+00 +5.2318e-02 -3.2519e+00 +1.2425e+00 +1.0482e+00 -4.0251e+00 +3.6615e+00
295764 +3.135757888e+01 +3.135757888e+01 +2.975757888e+01 +2.975757888e+01 -4.4547e+00 -4.0098e+00 +6.0882e-01 +3.7868e+00 +1.0707e+00 +2.3931e+00 -4.3226e+00 -2.3048e+00 -6.3937e-02 +2.0592e+00 +2.0402e+00 +9.5585e-01 +3.6031e-01 -1.8319e+00 +9.6648e-01 -3.0768e+00 +2.7757e+00 +1.3497e+00 -2.5529e+00 +3.5239e+00
295882 +2.828679633e+01 +2.828679633e+01 +2.668679633e+01 +2.668679633e+01 -3.9802e+00 -5.1163e+00 +9.4428e-01 +3.1685e+00 +1.8833e-01 +1.9439e+00 -4.4529e+00 -1.2607e+00 -2.0466e-01 +2.8901e+00 +1.8674e+00 +5.7514e-01 +6.8505e-03 -1.3600e+00 +1.1207e+00 -2.8446e+00 +1.7344e+00 +1.4326e+00 -2.5884e+00 +4.6187e+00
296128 +2.803806413e+01 +2.803806413e+01 +2.643806413e+01 +2.643806413e+01 -5.0861e+00 -4.4053e+00 +8.4595e-01 +3.0355e+00 +1.5075e+00 +3.1530e+00 -4.7774e+00 -2.0639e+00 +1.1978e-01 +1.9645e+00 +2.2113e+00 +3.1912e-01 -1.8414e-01 -1.4455e+00 +1.5779e+00 -6.1509e+00 +2.8475e-01 +1.0195e+00 -2.6588e+00 +4.0260e+00
296335 +2.731792710e+01 +2.731792710e+01 +2.571792710e+01 +2.571792710e+01 -5.0426e+00 -4.0278e+00 +6.5297e-01 +3.2525e+00 +1.5894e+00 +2.5349e+00 -3.8343e+00 -1.8104e+00 -3.0512e-01 +2.4121e+00 +1.8925e+00 +7.0994e-01 -7.0825e-01 +2.9063e-01 +1.0921e+00 -3.9124e+00 +2.1557e+00 +1.4172e+00 -3.8105e+00 +3.7575e+00
296429 +2.412826796e+01 +2.412826796e+01 +2.252826796e+01 +2.252826796e+01 -4.4461e+00 -4.0628e+00 +4.5521e-01 +3.3374e+00 +9.0158e-01 +2.9795e+00 -4.5996e+00 -2.3642e+00 -2.7439e-01 +2.7674e+00 +1.2006e+00 +1.1103e+00 +1.4259e+00 -1.5880e+00 +1.0123e+00 -3.5419e+00 +1.5473e+00 +2.8046e+00 -2.5148e+00 +3.8855e+00
296705 +2.219220123e+01 +2.219220123e+01 +2.059220123e+01 +2.059220123e+01 -4.3240e+00 -3.6132e+00 +7.2783e-01 +2.3972e+00 +9.5740e-01 +1.8046e+00 -4.0380e+00 -2.2551e+00 -6.2889e-01 +2.2449e+00 +2.4433e+00 +1.5965e+00 +5.1658e-01 -6.4721e-01 +1.1911e+00 -3.0068e+00 +1.3504e-01 +1.6607e+00 -4.7682e-01 +4.0971e+00
